127.0.0.1 - - [29/Nov/2019:08:33:49 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [29/Nov/2019:08:33:51 +0800] "GET /20191018/page/QueryFile.jsp HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [29/Nov/2019:08:34:09 +0800] "GET /20191018/page/QueryFile.jsp HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [29/Nov/2019:08:34:11 +0800] "GET /20191018/page/QueryFile.jsp HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [29/Nov/2019:08:34:11 +0800] "GET /20191018/page/QueryFile.jsp HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [29/Nov/2019:08:34:12 +0800] "GET /20191018/page/QueryFile.jsp HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [29/Nov/2019:08:36:11 +0800] "GET /20191018/query.do HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [29/Nov/2019:08:36:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [29/Nov/2019:09:10:21 +0800] "GET /20191018/query.do HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [29/Nov/2019:09:11:51 +0800] "GET /20191018/down.do?downpath=hdfs://192.168.17.161:9000/neusoft3/1.txt HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Nov/2019:09:12:13 +0800] "GET /20191018/down.do?downpath=hdfs://192.168.17.161:9000/neusoft3/1.txt HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Nov/2019:09:12:20 +0800] "GET /20191018/down.do?downpath=hdfs://192.168.17.161:9000/neusoft3/baseLstm.py HTTP/1.1" 200 -
